github_number,additions,deletions,changed_files
2490,19,19,1
4286,0,1,1
2664,14,14,1
2547,5,0,1
2613,19,0,2
2984,1,1,1
2611,2,3,2
2492,143,25,5
2769,144,26,5
2662,18,3,1
2494,3,0,1
2499,9,4,2
2502,2,2,1
2588,24,22,1
2504,607,134,15
2578,25,25,2
2628,15,36,1
2507,29,8,4
2513,103,63,24
2514,170,75,27
2726,41,42,4
2518,43,0,2
2904,2,4,1
2639,223,223,4
2638,221,223,5
2534,99,437,19
2524,5036,385,20
2550,12,13,10
2528,143,23,3
2529,3,0,1
2623,38,11,3
2536,59,11,5
2575,0,24,2
2548,15,12,5
2551,1,1,1
2621,4,22,1
2557,95,45,3
2618,96,75,2
2561,2,4,2
2562,69,49,3
2574,354,45,3
2573,340,45,3
2571,34,49,5
2572,1,1,1
2668,15,10,1
2576,19,12,1
2579,0,45,4
3828,127,0,6
3818,1,1,1
2646,7,0,1
2589,8,10,4
2630,123,46,6
2909,23,23,1
2595,124,142,1
2599,3,2,1
2609,94,63,3
2602,1,1,1
2604,4,7,1
2600,7,7,1
2605,7,7,4
4237,14,2,3
2616,1,2,1
2619,13,3,2
2624,2,2,1
2636,0,15,1
3378,1,1,1
2632,4,2,1
2635,44,6,2
2642,29,3,1
2645,1,1,1
2660,11,0,1
2643,15,1,2
2640,45,45,3
2644,24,12,3
2661,33,2,2
2678,26,13,3
2658,26,13,3
2659,564,0,2
2688,168,0,1
2689,396,0,1
3021,193,80,1
2672,1,8,1
2778,3,2,1
2682,3,0,1
2675,31,0,2
2690,1,1,1
2808,96,59,10
5419,91,57,4
2692,2,2,1
2702,42,41,16
4596,9,0,1
2704,1,1,1
2734,28,22,3
2729,0,18,4
2889,1,1,1
4232,6,6,1
2740,12,0,1
2741,2,1,1
2711,2,1,1
2721,49,15,15
2744,33,2,2
2731,5,0,2
2739,184,111,39
2742,289,128,43
2756,12,0,4
2763,1,1,1
2813,4,0,1
2757,18,0,4
4563,5,25,3
2768,0,1,1
2760,6,6,4
2761,4,4,2
2765,1,1,1
2764,5,3,1
2860,1954,434,98
2805,1827,451,99
2766,7,3,3
2767,165,52,6
2882,1,2,1
2861,21,1,1
2933,8,5,2
2814,1,0,1
2800,44,19,2
2924,62,41019,78
2878,4,0,2
2942,8,0,1
2830,9,1,2
2772,2,2,1
2879,2,1,2
