github_number,additions,deletions,changed_files
13327,458,3,2
13329,3,2,1
13331,1,1,1
13332,10,1,1
13333,3,3,1
13334,1687,0,7
13528,244,10,5
13381,230,10,5
13409,40,8,7
13338,921,21,16
4518,18,11,3
13337,1,1,1
13340,1,1,1
13342,1,1,1
13344,2,2,1
13353,275,88,2
13351,1,1,1
13522,188,7,6
13352,1,1,1
13354,2,7,1
13357,2,0,1
13355,2,0,1
13379,274,0,3
13359,1,1,1
13538,596,234,8
13361,128,34,22
4520,153,92,8
13362,2,2,1
13369,1,31,4
13364,3,4,5
13382,810,17,20
14023,518,263,354
5872,253,60,16
13378,2,1,1
13373,26,0,2
13407,361,53,30
13462,1,1,1
13375,3,2,1
13374,3,2,1
13376,12,22,1
13372,23,0,1
13380,149,90,1
13405,76,418,25
13385,38,38,38
4624,6,8,1
