github_number,additions,deletions,changed_files
13928,1,1,1
13986,24,9,9
13997,1,1,1
14023,3,2,1
15316,0,2,1
1655,67,67,11
13933,2679,15,5
13935,1,1,1
13946,1,8,1
13962,0,1,1
13957,0,1,1
14593,7,0,1
13951,30,28,1
13961,30,29,1
13949,1,1,1
2536,76,78,6
13965,46,20,6
13966,2,2,2
13959,2,2,2
13964,4,3,1
13968,263,69,10
13972,10,11,3
13974,0,7,1
13982,1,1,1
13990,113,14,4
13975,66,5,2
13977,2,1,1
13985,756,6,5
13989,32,0,2
14938,77,2,3
14955,46,0,2
13998,5,0,1
2323,16,4,3
14004,12,315,5
14001,130,89,2
14006,2,2,1
15591,3,98,1
13993,4,4,1
15022,4,11,1
14013,223,12,2
14017,21,2,3
14406,36,13,1
14829,584,16,8
14569,186,67,5
14552,192,159,1
2177,338,0,5
14027,5,0,1
2010,3,3,3
1685,233,212,50
1955,0,14,2
14014,125,115,5
14840,33,2,2
14042,1,1,1
14071,1,1,1
1675,843,673,6
14075,1,1,1
14078,65,4,2
14293,64,3,3
14306,64,3,3
14079,9,2,2
14059,119,341,27
14044,13,22,6
3430,116,63,2
14098,20,22,2
14856,477,32,6
1784,2,1,1
1756,316,76,7
2064,313,8,7
1734,60,29,5
14135,357,203,10
14112,7,10,1
14302,4,4,1
14120,10,12,3
14119,4,212,4
14138,2,2,1
14153,12,5,3
14506,1,1,1
14519,2,2,1
14244,2321,230,15
14154,27,15,2
14171,76,15,2
14155,228,78,34
14148,38,3,1
14165,2,1,1
14288,0,74,2
14149,17,0,1
14150,189,18,5
15400,291,53,9
14156,30,6,3
14413,31,22,7
14162,2489,760,6
14159,55,16,5
14461,31,22,7
15287,134,68,3
15256,134,68,3
15178,68,134,3
14164,267,27,2
16010,117,32,107
16033,45,76,20
16171,9,23,14
15890,66,596,47
15821,683,453,87
16036,87,287,116
16034,62,133,36
15648,502,894,226
16037,236,365,101
16174,4,5,2
15742,645,1387,331
16035,218,572,150
14169,35,0,1
1671,154,8,3
16078,1,1,1
15193,418,308,10
14168,13,17,3
14179,1,59,2
1988,738,327,21
14182,30,1,2
14199,5,12,2
2495,23,3,2
14215,2,2,1
14202,2,0,1
14205,9,18,1
14223,1,5,2
14208,1,5,2
14218,1,1,1
14227,33,2,2
14237,2,68,2
1678,328,337,13
2440,138,0,5
15394,146,5,4
15342,125,4,5
15493,317,30,8
15183,82,0,5
14770,139,6,5
